city,airport,latitude,longitude,score
New York,NYC,40.7353819,-73.974153,89
Boston,BOS,42.3656132,-71.0095602,81
Washington D.C.,DCA,38.851242,-77.04023149999999,77
Chicago,CHI,43.4024386,-70.7039194,78
Minneapolis,MSP,44.8847554,-93.2222846,68
Atlanta,ATL,33.6407282,-84.4277001,48
Miami,MIA,36.8780122,-77.4037118,78
Orlando,MCO,28.4311577,-81.308083,41
Los Angeles,LAX,33.9415889,-118.40853,66
San Francisco,SFO,37.6213129,-122.3789554,86
Seattle,SEA,47.4502499,-122.3088165,73
Madison,MSN,43.1390659,-89.33641279999999,48
